Expense,Amount,Category,Date,Interest/Debt
Combo 7,₱48.00,Food,"September 13, 2024",
Tuna,₱50.00,Food,"September 13, 2024",
Chicken,₱90.00,Food,"September 13, 2024",
Electric Bill,₱235.85,Home,"September 14, 2024",
Karinderya,₱80.00,Food,"September 14, 2024",
Print,₱150.00,Personal,"September 16, 2024",
JoyRide,₱221.00,Transportation,"September 16, 2024",
Maxipeel,₱127.50,"Home, Personal","September 16, 2024",
Print,₱100.00,Personal,"September 16, 2024",
Rocha,₱100.00,Food,"September 16, 2024",
Mango Shake,₱50.00,Food,"September 17, 2024",
Janggs,₱156.00,Food,"September 17, 2024",
Combo 4,₱50.00,Food,"September 17, 2024",
Ikot,₱22.00,Transportation,"September 17, 2024",
Cookies,₱15.00,Food,"September 17, 2024",
Gulay,₱85.00,Food,"September 17, 2024",
Janggs,₱99.00,Food,"September 18, 2024",
Ikot,₱22.00,Transportation,"September 18, 2024",
Tuna Sandwich,₱50.00,Food,"September 18, 2024",
Gatorade and Skyflakes,₱80.00,Food,"September 18, 2024",
Sisig,₱95.00,Food,"September 18, 2024",
Chowking,₱145.00,Food,"September 19, 2024",
Domino,₱920.00,Food,"September 19, 2024",
Rent,"₱3,000.00",Home,"September 19, 2024",
Ikot,₱22.00,Transportation,"September 19, 2024",
Gulay and Pasta,₱140.00,Food,"September 19, 2024",
Chicken,₱95.00,Food,"September 19, 2024",
Mango Shake,₱50.00,Food,"September 20, 2024",
Janggs,₱110.00,Food,"September 20, 2024",
Ikot,₱22.00,Transportation,"September 20, 2024",
Laing and Pechay,₱85.00,Food,"September 20, 2024",
Braces Adjustment,"₱1,000.00",Personal,"September 21, 2024",
Hungarian Sausage,₱79.00,Food,"September 21, 2024",
Transportation,₱53.00,Transportation,"September 21, 2024",
Calamares,₱20.00,Food,"September 24, 2024",
CS Lib Food,₱60.00,Food,"September 24, 2024",
Calamares,₱25.00,Food,"September 24, 2024",
Ikot,₱22.00,Transportation,"September 24, 2024",
Momarcs,₱75.00,Food,"September 24, 2024",
Laundry,₱187.00,Home,"September 24, 2024",
Ikot,₱22.00,Transportation,"September 25, 2024",
Bottled Water,₱25.00,Food,"September 25, 2024",
Lucky Day,₱35.00,Food,"September 25, 2024",
Sisig,₱95.00,Food,"September 25, 2024",
KFC,₱255.00,Food,"September 25, 2024",
